"","zip","pop_total","pop_25","prop_hs","prop_sc","prop_b","prop_grad","hh_inc","f_inc","pc_inc"
"30843","91411",23520,17075,0.795724743777452,0.625827232796486,0.369428989751098,0.105007320644217,77582,81230,43650
"30844","91423",32536,25885,0.967007919644582,0.874328761831176,0.629399265984161,0.219277573884489,112119,164554,82598
"30845","91436",16424,11730,0.953708439897698,0.872719522591645,0.708354646206309,0.35848252344416,174803,224567,105547
"30846","91501",19343,14170,0.889837685250529,0.754199011997177,0.438743824982357,0.134156669019054,85419,98932,51121
"30847","91502",11732,8689,0.873748417539418,0.725745195074232,0.425940844746231,0.133041776959374,61443,90000,39616
"30848","91504",27268,19295,0.928945322622441,0.772272609484322,0.454677377558953,0.176211453744493,103164,128981,58467
"30849","91505",31843,23166,0.940861607528274,0.775878442545109,0.469308469308469,0.158205991539325,106364,132841,55276
"30850","91506",18773,14740,0.93853459972863,0.809090909090909,0.47123473541384,0.128968792401628,107171,137126,64152
"30851","91601",37033,29063,0.888827719093005,0.755943983759419,0.506657949970753,0.107972335959811,77540,92796,52335
"30852","91602",19760,16086,0.962824816610717,0.862240457540719,0.550167847817978,0.140557006092254,97994,131037,75119
"30853","91604",32118,24906,0.978037420701839,0.890709066088493,0.647072994459166,0.264554725768891,141317,193324,103001
"30854","91605",52086,35835,0.711008790288824,0.475763917957304,0.216520161852937,0.0553927724291893,64539,75119,28116
"30855","91606",43202,31404,0.776015794166348,0.541045726659024,0.269997452553815,0.0649280346452681,66884,74792,32650
"30856","91607",30918,23719,0.936127155445002,0.788734769593996,0.51692735781441,0.155192040136599,84925,111648,54532
"30857","91608",38,38,1,1,1,0,NA,NA,61776
"30858","91701",38597,27444,0.925120244862265,0.722088616819706,0.361609094884128,0.136641888937473,113576,121676,46670
"30859","91702",61766,40359,0.780767610694021,0.51728239054486,0.24239946480339,0.08350058227409,87577,90057,30542
"30860","91706",71620,48272,0.684786211468346,0.378998176997017,0.143934371892609,0.0293337752734504,79473,78763,26091
"30861","91708",17308,11415,0.907052124397722,0.732720105124836,0.361191414805081,0.108628996933859,104242,102533,35661
"30862","91709",78200,54858,0.934467169783806,0.770279631047432,0.482810164424514,0.170239527507383,122784,133536,49474
"30863","91710",80186,55420,0.823403103572717,0.577084085167809,0.262197762540599,0.0757849151930711,104205,114907,36042
"30864","91711",37538,24855,0.949989941661638,0.826996580164957,0.592838463085898,0.309354254677127,121970,157363,54496
"30865","91722",34087,24045,0.817592014971928,0.551133291744645,0.226783114992722,0.0749844042420462,98033,105147,34710
"30866","91723",18200,12981,0.874508897619598,0.611200986056544,0.249441491410523,0.0669439950697173,87363,111296,37288
"30867","91724",28113,20060,0.908374875373878,0.666201395812562,0.35518444666002,0.116101694915254,102129,110225,42690
"30868","91730",71692,49375,0.911554430379747,0.69053164556962,0.3248,0.117812658227848,89654,100139,38637
"30869","91731",28122,18771,0.675083906025252,0.366949017100847,0.151776676788663,0.0312183687603218,60887,67245,23538
"30870","91732",58056,39658,0.655479348429069,0.364415754702708,0.152756064350194,0.033108074032982,67172,74375,24894
"30871","91733",41716,28327,0.55861898542027,0.310445864369683,0.112931125781057,0.029159459173227,67245,67700,23260
"30872","91737",22797,16239,0.942730463698504,0.732372683046986,0.409939035654905,0.152472442884414,116903,135757,54803
"30873","91739",41722,27781,0.918937403261222,0.744969583528311,0.449011914617904,0.195529318599043,141475,156362,52640
"30874","91740",26160,18125,0.915696551724138,0.669186206896552,0.310234482758621,0.088551724137931,98819,113448,39217
"30875","91741",26166,18158,0.957704593016852,0.788853397951316,0.473124793479458,0.220013217314682,127063,154106,57975
"30876","91744",78253,52735,0.675452735374988,0.372997060775576,0.1318668815777,0.0284251445908789,92624,94467,26664
"30877","91745",54996,40629,0.87395702576977,0.64028157227596,0.360186073986561,0.119742056166777,106611,112431,41017
"30878","91746",28256,19585,0.696859841715599,0.411794740873117,0.16384988511616,0.0462088332907838,84967,89658,28017
"30879","91748",43137,32330,0.849087534797402,0.59582431178472,0.350077327559542,0.0969068976183112,83455,86828,38662
"30880","91750",33267,24078,0.93413074175596,0.737229005731373,0.414237062878977,0.164631613921422,104827,127171,50741
"30881","91752",37551,25048,0.782577451293516,0.504112104758863,0.226485148514851,0.0741775790482274,113450,126215,36580
"30882","91754",33176,25279,0.818189010641244,0.59191423711381,0.375291744135448,0.119308516950829,81890,95622,40608
"30883","91755",26413,20152,0.767169511710996,0.501587931718936,0.317189360857483,0.0754763795156808,74362,74415,34087
"30884","91759",290,259,0.961389961389961,0.922779922779923,0.621621621621622,0.312741312741313,118750,130417,61881
"30885","91761",62506,40219,0.806832591561202,0.536562321290932,0.213680101444591,0.0590268281160645,97396,97601,33914
"30886","91762",63656,42215,0.773232263413479,0.517091081369182,0.213075920881203,0.0627028307473647,76289,85095,31391
"30887","91763",37515,23851,0.741981468282252,0.454027084818247,0.180118234036309,0.0610456584629575,77627,80409,27061
"30888","91764",55412,35077,0.74282293240585,0.469053795934658,0.183767140861533,0.0419078028337657,75605,78929,27443
"30889","91765",44779,33535,0.928641717608469,0.785686596093634,0.533472491426867,0.182853734903832,104737,119061,48821
"30890","91766",68673,45036,0.709166000532907,0.45339284128253,0.199262811972644,0.0505373478994582,77699,78913,27518
"30891","91767",50308,33906,0.795434436382941,0.526042588332449,0.214091901138442,0.0712853182327612,80201,93188,30807
"30892","91768",34921,21272,0.698617901466717,0.415663783377209,0.141124482888304,0.0471041745016924,76313,78857,23961
"30893","91770",58893,44153,0.677485108599642,0.417344234819831,0.230629855275972,0.0438701786968043,73757,79641,27428
"30894","91773",33917,24412,0.928027199737834,0.726282156316566,0.403735867606095,0.169752580698017,105926,124575,49604
"30895","91775",23776,17574,0.914134516899966,0.769204506657562,0.516786161374758,0.190508706043018,113703,126632,53281
"30896","91776",37769,28025,0.76135593220339,0.512042818911686,0.293309545049063,0.0785727029438002,79926,81940,31751
"30897","91780",35136,25113,0.869310715565643,0.657707163620436,0.425636124716282,0.152789391948393,101746,110678,42749
"30898","91784",26900,19469,0.955570393959628,0.812933381272793,0.487082027839129,0.21290256304895,157118,168154,61309
"30899","91786",55519,37655,0.880148718629664,0.624140220422255,0.300438188819546,0.10460762182977,86961,98554,38723
"30900","91789",40933,30269,0.934388318081205,0.773861045954607,0.531566949684496,0.180316495424362,125742,139172,49446
"30901","91790",44791,31094,0.825368238245321,0.522962629446195,0.234386055187496,0.0646426963401299,100142,110755,36557
"30902","91791",33321,24775,0.867891019172553,0.632452068617558,0.342643794147326,0.096226034308779,100365,115119,42059
"30903","91792",30921,22613,0.873037633219829,0.636359616150002,0.335338079865564,0.0971565028965639,96383,100711,36518
"30904","91801",53730,41314,0.85198721982863,0.638935953913927,0.405601006922593,0.142687708767004,85549,88836,42901
"30905","91803",27803,20873,0.803765630240023,0.601638480333445,0.366118909596129,0.117136971206822,84537,92333,40323
"30906","91901",18300,12886,0.953437839515754,0.718298929070309,0.303818097159708,0.0984013658233742,116600,131285,48826
"30907","91902",17445,13001,0.922621336820245,0.744865779555419,0.424428890085378,0.169679255441889,121727,150245,57919
"30908","91905",1466,1070,0.886915887850467,0.395327102803738,0.121495327102804,0.0570093457943925,70450,75439,29211
"30909","91906",3375,2496,0.797676282051282,0.560096153846154,0.109375,0.0188301282051282,58561,75286,33890
"30910","91910",77957,54739,0.838360218491386,0.630172272054659,0.286267560605784,0.0894608962531285,87705,96770,38437
"30911","91911",84619,57492,0.780786892089334,0.507461907743686,0.194531413066166,0.0541988450567035,79334,88746,31550
"30912","91913",57067,36458,0.922129573756103,0.749437709144769,0.401804816501179,0.133660650611663,129412,141819,47499
"30913","91914",17036,11393,0.943122970244887,0.773018520143948,0.48011937154393,0.170279996489072,164398,175208,51842
"30914","91915",35385,21966,0.938677956842393,0.813939725029591,0.51028862787945,0.173040152963671,138283,146040,44729
"30915","91916",1757,1258,0.930842607313196,0.614467408585056,0.224960254372019,0.147058823529412,110833,112784,48402
"30916","91917",889,495,0.793939393939394,0.684848484848485,0.288888888888889,0.165656565656566,157941,111328,32747
"30917","91931",735,549,0.794171220400729,0.60655737704918,0.198542805100182,0,49808,49263,24221
"30918","91932",25897,17728,0.852888086642599,0.562669223826715,0.237082581227437,0.0743456678700361,79071,83750,38709
"30919","91934",1265,983,1,0.477110885045778,0.17293997965412,0,50797,50659,19651
"30920","91935",9466,6767,0.927146445987882,0.630264518989212,0.322447170090143,0.118811881188119,138953,148185,49261
"30921","91941",33706,24617,0.95393427306333,0.791079335418613,0.45874801966121,0.194093512613235,111607,130185,54771
"30922","91942",40920,29619,0.935514365778723,0.769067152841082,0.382389682298525,0.129646510685709,81262,110489,46732
"30923","91945",27531,19458,0.891509918799466,0.609980470757529,0.203463870901429,0.0792990029807791,79381,89137,35463
